Grapheme	IPA	Frequency
ɛ	ɛ	55
ɨ	ɨ	25
n	n	17
-	<?>	17
a	a	16
r$	r	15
^a	a	14
a$	a	14
r	r	12
s	s	12
$	NULL	11
m$	m	10
m	m	9
ɛ$	ɛ	9
t$	t	9
^m	m	8
^s	s	8
^ɨ	ɨ	7
n$	n	7
o	o	6
^g	g	6
^z	z	6
x	x	6
^kˤ	kˤ	6
u	u	5
y	y	5
^b	b	5
^d	d	4
^n	n	4
z	z	4
^ɛ	ɛ	4
g	g	4
w	w	4
^x	x	3
f	f	3
^tˤ	tˤ	3
kˤ	kˤ	3
tˤ	tˤ	3
^c	c	3
cˤ	cˤ	3
k$	k	2
w$	w	2
d	d	2
t	t	2
^æ	æ	2
b$	b	2
β	β	2
^w	w	2
nn	nn	1
d$	d	1
k	k	1
kʸ	kʲ	1
æ$	æ	1
i	i	1
e$	e	1
j$	j	1
^xʸ	xʲ	1
ɪ	ɪ	1
b	b	1
ee	ee	1
f$	f	1
o$	o	1
^a:	aː	1
B$	<?>	1
s$	s	1
^t	t	1
β$	β	1
^e	e	1
^j	j	1
x$	x	1
^xˤʷ	xʷˤ	1
e:	eː	1
o:	oː	1
kˤ$	kˤ	1
^i	i	1
^y	y	1
i:	iː	1
a:	aː	1
u$	u	1
